name,urls,first
demuxmix,https://bioconductor.org/packages/release/bioc/html/demuxmix.html|https://github.com/huklein/demuxmix,https://bioconductor.org/packages/release/bioc/html/demuxmix.html
InterCellar,https://bioconductor.org/packages/release/bioc/html/InterCellar.html|https://github.com/martaint/InterCellar,https://bioconductor.org/packages/release/bioc/html/InterCellar.html
MACA,https://github.com/ImXman/MACA|https://github.com/ImXman/MACA/blob/master/Tutorial/Integrated%20annotation%20via%20MACA/MACA_integrated_annotation_humanheart.ipynb|https://github.com/ImXman/MACA/blob/master/Tutorial/Integrated%20annotation%20via%20MACA/MACA_integrated_annotation_humanpancreas.ipynb|https://github.com/ImXman/MACA/tree/master/Tutorial/Basic%20use%20of%20MACA|https://github.com/ImXman/MACA/blob/master/Tutorial/MACA_transfer_annotation_spatialbrain10xVisium.ipynb|https://github.com/ImXman/MACA/blob/master/Tutorial/Integrated%20annotation%20via%20MACA/MACA_integrated_annotation_COVID19.ipynb|https://github.com/ImXman/MACA/blob/master/Tutorial/Integrated%20annotation%20via%20MACA/MACA_integrated_annotation_humanPBMC.ipynb|https://github.com/ImXman/MACA/tree/master/Tutorial/Integrated%20annotation%20via%20MACA,https://github.com/ImXman/MACA
OEFinder,https://github.com/lengning/OEFinder,https://github.com/lengning/OEFinder
PsiNorm,https://github.com/MatteoBlla/PsiNorm,https://github.com/MatteoBlla/PsiNorm
RECODE,https://github.com/yusuke-imoto-lab/RECODE,https://github.com/yusuke-imoto-lab/RECODE
sc-REnF,https://github.com/Snehalikalall/sc-REnF,https://github.com/Snehalikalall/sc-REnF
Scallop2,https://github.com/Shao-Group/scallop2,https://github.com/Shao-Group/scallop2
scAnnotatR,https://bioconductor.org/packages/release/bioc/html/scAnnotatR.html|https://github.com/grisslab/scAnnotatR,https://bioconductor.org/packages/release/bioc/html/scAnnotatR.html
scCB2,https://bioconductor.org/packages/release/bioc/html/scCB2.html|https://github.com/zijianni/scCB2,https://bioconductor.org/packages/release/bioc/html/scCB2.html
scDoc,https://github.com/anlingUA/scDoc,https://github.com/anlingUA/scDoc
sceb,https://github.com/martinjzhang/single_cell_eb|https://github.com/martinjzhang/single_cell_eb/tree/master/examples|https://github.com/martinjzhang/single_cell_eb/tree/master/experiments,https://github.com/martinjzhang/single_cell_eb
scGNN2,https://github.com/OSU-BMBL/scGNN2.0,https://github.com/OSU-BMBL/scGNN2.0
scIAE,https://github.com/JGuan-lab/scIAE,https://github.com/JGuan-lab/scIAE
SClineager,https://github.com/inmybrain/SClineager,https://github.com/inmybrain/SClineager
scphaser,https://github.com/edsgard/scphaser|https://github.com/edsgard/scphaser/tree/master/inst/doc/refman.pdf,https://github.com/edsgard/scphaser
scRNABatchQC,https://github.com/liuqivandy/scRNABatchQC,https://github.com/liuqivandy/scRNABatchQC
TWO-SIGMA,https://github.com/edvanburen/twosigma,https://github.com/edvanburen/twosigma
VIPCCA,https://vipcca.readthedocs.io/en/latest/index.html|https://github.com/jhu99/vipcca,https://vipcca.readthedocs.io/en/latest/index.html
waddR,https://bioconductor.org/packages/release/bioc/html/waddR.html|https://github.com/goncalves-lab/waddR,https://bioconductor.org/packages/release/bioc/html/waddR.html
WEDGE,https://WEDGE.readthedocs.io/en/latest/|https://github.com/QuKunLab/WEDGE,https://WEDGE.readthedocs.io/en/latest/
APL,https://APL.readthedocs.io/en/latest/|https://bioconductor.org/packages/release/bioc/html/APL.html|https://github.com/VingronLab/APL|https://vingronlab.github.io/APL/,https://APL.readthedocs.io/en/latest/
BioTIP,https://bioconductor.org/packages/release/bioc/html/BioTIP.html|https://github.com/xyang2uchicago/BioTIP,https://bioconductor.org/packages/release/bioc/html/BioTIP.html
CAPITAL,https://CAPITAL.readthedocs.io/en/latest/|https://github.com/ykat0/capital,https://CAPITAL.readthedocs.io/en/latest/
CARDAMOM,https://gitbio.ens-lyon.fr/eventr01/cardamom,https://gitbio.ens-lyon.fr/eventr01/cardamom
CTpathway,https://github.com/Bioccjw/CTpathway,https://github.com/Bioccjw/CTpathway
deCS,https://github.com/GuangshengPei/deCS,https://github.com/GuangshengPei/deCS
